"as_of_date","centre_name","country","is_service_facility","location","number_sequencers","number_454","number_ga2","number_hiseq","number_miseq","number_ion_torrent","number_solid","number_pacbio"
"2010-03-17","HudsonAlpha Institute for Biotechnology","United States","None","34.723555,-86.594238","3","1","1","0","0","0","1","0"
"2010-03-17","Human Genome Sequencing Centre, Baylor College of Medicine","United States","None","29.7104940395,-95.3958320618","18","10","2","0","0","0","6","0"
"2010-03-17","IBMS, Academia Sinica","Taiwan","True","25.0370828104,121.635475159","1","1","0","0","0","0","0","0"
"2010-03-17","ICR","United Kingdom","None","51.489774,-0.175095","1","0","1","0","0","0","0","0"
"2010-03-17","IFOM-IEO Campus","Italy","False","45.442233,9.203217","1","0","1","0","0","0","0","0"
"2010-03-17","IGP Uppsala University","Sweden","None","59.845634,17.640309","1","0","0","0","0","0","1","0"
"2010-03-17","IKMB - Institute of Clinical Molecular Biology","Germany","None","54.332547,10.1411","2","1","0","0","0","0","1","0"
"2010-03-17","Illumina","United States","None","32.889678,-117.214508","1","0","1","0","0","0","0","0"
"2010-03-17","Illumina (formerly Solexa HQ)","United Kingdom","None","52.059668,0.23243","1","0","1","0","0","0","0","0"
"2010-03-17","INDEAR-CONICET","Argentina","True","-32.9699315831,-60.623588562","2","1","0","0","0","0","0","0"
"2010-03-17","Indiana University (Bloomington)","United States","None","39.164141,-86.52832","2","1","1","0","0","0","0","0"
"2010-03-17","INMEGEN","Mexico","None","19.394068,-99.09668","1","0","0","0","0","0","1","0"
"2010-03-17","Inqaba Biotec","South Africa","None","-25.7603197547,28.212890625","1","1","0","0","0","0","0","0"
"2010-03-17","INSP","Mexico","None","18.97718511,-99.2461814582","1","1","0","0","0","0","0","0"
"2010-03-17","Institue of PLant Biology, Zurich University","Switzerland","None","47.358925,8.560061","1","0","1","0","0","0","0","0"
"2010-03-17","Institut Curie","France","None","48.8439886271,2.34442234039","1","0","0","0","0","0","1","0"
"2010-03-17","Institut Pharmacologie Moléculaire Cellulaire","France","True","43.6185783773,7.05296516418","3","0","0","0","0","0","1","0"
"2010-03-17","Institute for Chemical Biology and Fundamental Medicine","Russia","True","54.8506543588,83.1035470963","1","0","0","0","0","0","1","0"
"2010-03-17","Institute for Genome Sciences, University of Maryland","United States","None","39.2886176084,-76.6291698216","2","1","1","0","0","0","0","0"
"2010-03-17","Institute for Molecular Bioscience University of Queensland","Australia","None","-27.496547227,153.009681702","11","0","0","0","0","0","11","0"
"2010-03-17","Institute for Plant Genomics, Human Biotechnology and Bioenergy (BAYGEN)","Hungary","None","46.2445438139,20.1661616564","1","0","0","0","0","0","1","0"
"2010-03-17","Institute of Biotechnolgy - University of Helsinki","Finland","None","60.226457,25.01353","1","1","0","0","0","0","0","0"
"2010-03-17","Institute of Molecular Biotechnology, Vienna","Austria","None","48.2088420977,16.3771597445","3","0","3","0","0","0","0","0"
"2010-03-17","Institute of Molecular Genetics AS CR","Czech Republic","False","50.0139994963,14.4645953178","1","1","0","0","0","0","0","0"
"2010-03-17","Integragen","France","None","48.618747,2.44993","1","0","1","0","0","0","0","0"
