"as_of_date","centre_name","country","is_service_facility","location","number_sequencers","number_454","number_ga2","number_hiseq","number_miseq","number_ion_torrent","number_solid","number_pacbio"
"2010-03-17","USDA-ARS MidSouth Area","United States","False","33.4249944296,-90.9109210968","2","1","0","0","0","0","0","0"
"2010-03-17","UT Southwestern","United States","True","32.8190178233,-96.8432807922","2","0","0","0","0","0","1","0"
"2010-03-17","UUSM - UNAM","Mexico","True","18.9829915642,-99.2342421412","1","0","1","0","0","0","0","0"
"2010-03-17","Vanderbilt University Medical Center","United States","True","36.14206,-86.80241","1","0","1","0","0","0","0","0"
"2010-03-17","Victor Chang Cardiac Research Institute","Australia","False","-33.8785260401,151.221962571","1","0","0","0","0","0","1","0"
"2010-03-17","Virginia Bioinformatics Institute","United States","None","37.22862,-80.414944","1","1","0","0","0","0","0","0"
"2010-03-17","Wageningen University","Netherlands","None","51.986446,5.664203","1","1","0","0","0","0","0","0"
"2010-03-17","Warwick HRI","United Kingdom","None","52.3804079721,-1.56124198424","1","0","1","0","0","0","0","0"
"2010-03-17","Wellcome Trust Centre for Human Genetics","United Kingdom","None","51.755303,-1.208067","6","2","4","0","0","0","0","0"
"2010-03-17","Wellcome Trust Sanger Institute","United Kingdom","None","52.0789389512,0.183312892914","45","5","40","0","0","0","0","0"
"2010-03-17","Wilhelm Johannsen Centre for Functional Genome Research","Denmark","None","55.6788967156,12.5723805433","1","0","1","0","0","0","0","0"
"2010-03-17","Yale University","United States","None","41.307729,-72.92038","1","0","1","0","0","0","0","0"
"2010-03-17","Yang Ming U Genome Research Center","Taiwan","True","25.1110932361,121.541404724","2","1","1","0","0","0","0","0"
