"as_of_date","centre_name","country","locality","is_service_facility","is_genome_centre","location","number_sequencers","number_454","number_ga2","number_hiseq","number_miseq","number_ion_torrent","number_solid","number_pacbio"
"2010-03-21","IGBMC microarray and sequencing platform","France","illkirch, CU strasbourg, France","True","False","48.531157011,7.71789550781","2","0","1","0","0","0","0","0"
"2010-03-21","IGP Uppsala University","Sweden",", Sweden","None","None","59.845634,17.640309","1","0","0","0","0","0","1","0"
"2010-03-21","IKMB - Institute of Clinical Molecular Biology","Germany","Schleswig-Holstein, Germany","None","None","54.332547,10.1411","2","1","0","0","0","0","1","0"
"2010-03-21","Illumina","United States","CA, United States","None","None","32.889678,-117.214508","1","0","1","0","0","0","0","0"
"2010-03-21","Illumina (formerly Solexa HQ)","United Kingdom","Essex, United Kingdom","None","None","52.059668,0.23243","1","0","1","0","0","0","0","0"
"2010-03-21","IMGM Laboratories GmbH","Germany","Bayern, Germany","True","None","48.1123598049,11.4522600174","1","0","0","0","0","0","0","0"
"2010-03-21","INDEAR-CONICET","Argentina","Rosario, Argentina","True","True","-32.9699315831,-60.623588562","2","1","0","0","0","0","0","0"
"2010-03-21","Indiana University (Bloomington)","United States","IN, United States","None","None","39.164141,-86.52832","2","1","1","0","0","0","0","0"
"2010-03-21","INMEGEN","Mexico","D.f., Mexico","None","None","19.394068,-99.09668","1","0","0","0","0","0","1","0"
"2010-03-21","Inqaba Biotec","South Africa","Gauteng, Pretoria, Sunnyside, South Africa","None","None","-25.7603197547,28.212890625","1","1","0","0","0","0","0","0"
"2010-03-21","INSP","Mexico","Mo, Mexico","None","None","18.97718511,-99.2461814582","1","1","0","0","0","0","0","0"
"2010-03-21","Institue of PLant Biology, Zurich University","Switzerland","Zürich, Switzerland","None","None","47.358925,8.560061","1","0","1","0","0","0","0","0"
"2010-03-21","Institut Curie","France","Ile-de-France, France","None","False","48.8439886271,2.34442234039","1","0","0","0","0","0","1","0"
"2010-03-21","Institut Pharmacologie Moléculaire Cellulaire","France","Sophia Antipolis, France","True","False","43.6185783773,7.05296516418","3","0","0","0","0","0","1","0"
"2010-03-21","Institute for Chemical Biology and Fundamental Medicine","Russia","Новосибирская область, Russia","True","False","54.8506543588,83.1035470963","1","0","0","0","0","0","1","0"
"2010-03-21","Institute for Genome Sciences, University of Maryland","United States","MD, United States","None","None","39.2886176084,-76.6291698216","2","1","1","0","0","0","0","0"
"2010-03-21","Institute for Molecular Bioscience University of Queensland","Australia","QLD, Australia","None","None","-27.496547227,153.009681702","11","0","0","0","0","0","11","0"
"2010-03-21","Institute for Plant Genomics, Human Biotechnology and Bioenergy (BAYGEN)","Hungary","Csongrád, Hungary","None","None","46.2445438139,20.1661616564","1","0","0","0","0","0","1","0"
"2010-03-21","Institute of Biotechnolgy - University of Helsinki","Finland","Etelä-Suomi, Finland","None","None","60.226457,25.01353","1","1","0","0","0","0","0","0"
"2010-03-21","Institute of Genomics and Integrative Biology","India","Delhi, India","True","True","28.6345736422,77.1348595619","2","1","1","0","0","0","0","0"
"2010-03-21","Institute of Molecular Biotechnology, Vienna","Austria","Wien, Austria","None","None","48.2088420977,16.3771597445","3","0","3","0","0","0","0","0"
"2010-03-21","Institute of Molecular Genetics AS CR","Czech Republic","Středočeský, Czech Republic","False","True","50.0139994963,14.4645953178","1","1","0","0","0","0","0","0"
"2010-03-21","Integragen","France","Ile-de-France, France","None","None","48.618747,2.44993","1","0","1","0","0","0","0","0"
"2010-03-21","Integrated Core Facility for Functional Genomics","Taiwan","Taipei, Taiwan","True","False","24.9767219253,121.53711319","1","0","0","0","0","0","1","0"
"2010-03-21","Iowa State University DNA facility","United States","IA, United States","None","False","42.0250686463,-93.6474609375","1","0","1","0","0","0","0","0"
"2010-03-21","Istanbul University","Turkey","Istanbul, Turkey","True","True","41.017469619,28.933095932","1","1","0","0","0","0","0","0"
"2010-03-21","KACST","Saudi Arabia","Riyadh, Saudi Arabia","False","True","24.6669863852,46.6918945312","1","0","0","0","0","0","1","0"
"2010-03-21","Kansas State Uni","United States","KS, United States","None","None","39.181175,-96.591797","1","1","0","0","0","0","0","0"
"2010-03-21","Keygene","Netherlands","Gelderland, Netherlands","None","None","51.976831,5.6462","1","0","0","0","0","0","1","0"
"2010-03-21","King Abdul Aziz University Hospital","Saudi Arabia","Jeddah, Saudi Arabia","False","False","21.4931649439,39.2486572266","1","0","0","0","0","0","1","0"
"2010-03-21","KPS Biotechnology & Healthcare Services Ltd. ","Hungary","Budapest, Hungary","None","None","47.5158094625,19.0090084076","1","1","0","0","0","0","0","0"
"2010-03-21","KTH Gene Technology Sequencing Center","Sweden",", Sweden","None","None","59.353737,18.058519","1","1","0","0","0","0","0","0"
"2010-03-21","Laboratory of Molecular Technology","United States","MD, United States","False","False","39.4264184311,-77.414438009","2","2","0","0","0","0","0","0"
"2010-03-21","Laboratório Nacional de Luz Sincrotron","Brazil","Campinas, SP, Brazil","False","False","-22.798654837,-47.0628547668","1","0","0","0","0","0","0","0"
"2010-03-21","LANGEBIO-CINVESTAV","Mexico","Gt, Mexico","True","None","20.7132676675,-101.320921897","3","2","0","0","0","0","1","0"
"2010-03-21","Leiden University Medical Centre","Netherlands","Zuid-Holland, Netherlands","None","None","52.1660415713,4.47502756171","4","1","2","0","0","0","0","0"
"2010-03-21","LGC Agowa","Germany","Berlin, Germany","None","None","52.460403,13.527946","1","1","0","0","0","0","0","0"
"2010-03-21","Li Ka Shing Insitute of Health Sciences, CUHK","Hong Kong","Hong Kong, Hong Kong","True","False","22.3806745496,114.201872349","12","0","10","0","0","0","0","0"
"2010-03-21","LNCC - Laboratório Nacional de Computação Científica","Brazil","RJ, Brazil","None","None","-22.532854,-43.207855","1","1","0","0","0","0","0","0"
"2010-03-21","Ludwig Institute for Cancer Research","Brazil","SP, Brazil","False","False","-23.5689481445,-46.6422758102","1","0","0","0","0","0","1","0"
"2010-03-21","Macrogen","South Korea","South Korea, South Korea","None","None","37.527154,127.089844","12","1","10","0","0","0","1","0"
"2010-03-21","Massachusetts General Hospital","United States","MA, United States","None","None","42.363491,-71.067638","2","0","0","0","0","0","1","0"
"2010-03-21","Max Planck Institute for Developmental Biology","Germany","Baden-Württemberg, Germany","False","False","48.5342688051,9.05488014221","2","0","2","0","0","0","0","0"
"2010-03-21","Max Planck Institute for Molecular Genetics","Germany","Berlin, Germany","None","None","52.444253,13.273802","12","2","5","0","0","0","4","0"
"2010-03-21","Mayo Clinic","United States","Rochester, MN, United States","True","True","44.0199006495,-92.4666023254","4","1","2","0","0","0","1","0"
